               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080074,            0.033969,            0.012121,             0.39563,              0.3366,              0.3038,             0.11001,            0.060284,            0.019625,            0.002015,            0.070041,           0.0033288,           0.0033288
                   1,             0.06075,             0.02641,           0.0016771,             0.53574,             0.45633,             0.46974,             0.18672,            0.052914,             0.01726,           0.0014424,            0.040019,           0.0066402,           0.0066402
                   2,            0.055306,            0.023606,           0.0016523,             0.54329,             0.51715,             0.50681,             0.20293,            0.053472,            0.016874,           0.0015249,           0.0099747,           0.0099295,           0.0099295
                   3,            0.051328,            0.023068,           0.0013782,             0.53344,             0.51129,             0.51055,             0.22747,            0.048835,            0.017415,           0.0012753,            0.009901,            0.009901,            0.009901
                   4,            0.049423,            0.022515,           0.0011127,             0.59402,             0.54465,             0.56314,             0.23672,            0.048589,            0.017424,          0.00092377,            0.009901,            0.009901,            0.009901
                   5,            0.046974,            0.023497,           0.0008534,             0.60528,             0.52404,             0.55444,              0.2227,            0.047407,            0.017865,          0.00074365,            0.009868,            0.009868,            0.009868
                   6,            0.045603,            0.023573,          0.00075631,             0.54485,             0.56526,             0.53697,             0.23612,            0.046602,            0.017891,          0.00063898,            0.009835,            0.009835,            0.009835
                   7,            0.046097,            0.023157,          0.00063199,             0.56928,             0.54606,             0.53201,             0.22797,            0.046235,            0.017901,           0.0006264,            0.009802,            0.009802,            0.009802
                   8,             0.04412,            0.022412,           0.0005599,             0.58206,             0.53029,             0.55202,             0.23875,            0.045495,            0.017738,          0.00047894,            0.009769,            0.009769,            0.009769
                   9,            0.044133,            0.022384,          0.00053114,              0.6024,             0.52208,             0.54318,             0.23212,            0.046463,            0.018075,          0.00042828,            0.009736,            0.009736,            0.009736
                  10,            0.042654,            0.022596,          0.00045201,              0.6074,               0.579,             0.58654,             0.26387,            0.045508,            0.017733,          0.00048866,            0.009703,            0.009703,            0.009703
                  11,            0.041676,            0.021858,           0.0004634,             0.63595,              0.5682,             0.59342,             0.27237,             0.04485,            0.017568,          0.00045271,             0.00967,             0.00967,             0.00967
                  12,            0.041353,            0.022289,          0.00039847,             0.62406,             0.55545,             0.58573,              0.2685,            0.043904,            0.017694,          0.00043392,            0.009637,            0.009637,            0.009637
                  13,            0.040522,            0.021342,          0.00037974,             0.60432,             0.56355,             0.58297,             0.25738,            0.044128,            0.017714,          0.00044071,            0.009604,            0.009604,            0.009604
                  14,            0.039274,            0.021685,          0.00046133,             0.56358,                0.55,             0.54899,             0.24227,            0.045372,             0.01844,          0.00034721,            0.009571,            0.009571,            0.009571
                  15,            0.039441,            0.021851,          0.00036797,             0.65551,             0.55447,             0.61488,             0.28786,            0.043814,            0.018031,           0.0003724,            0.009538,            0.009538,            0.009538
                  16,             0.03914,            0.021337,          0.00034445,             0.64314,             0.60255,             0.61068,             0.28486,            0.043247,             0.01779,          0.00037247,            0.009505,            0.009505,            0.009505
                  17,            0.038521,            0.021256,          0.00037264,             0.60195,             0.58027,             0.57926,              0.2536,            0.045133,            0.018074,          0.00042876,            0.009472,            0.009472,            0.009472
                  18,            0.038762,            0.021634,          0.00036519,             0.60015,             0.59078,             0.60487,             0.26363,            0.044728,            0.018059,          0.00037688,            0.009439,            0.009439,            0.009439
                  19,            0.037707,            0.020575,          0.00032893,             0.62854,             0.57121,             0.59867,             0.27193,            0.044315,            0.018182,          0.00028955,            0.009406,            0.009406,            0.009406
                  20,            0.037295,            0.020525,          0.00032215,             0.66125,              0.5368,             0.58961,             0.27901,            0.043266,            0.018361,          0.00030015,            0.009373,            0.009373,            0.009373
                  21,            0.036664,            0.020343,          0.00027817,             0.61153,             0.58096,             0.58844,              0.2778,            0.043478,            0.018358,          0.00035504,             0.00934,             0.00934,             0.00934
                  22,            0.036293,            0.020415,          0.00027844,             0.64058,             0.57893,             0.60234,             0.28083,            0.043265,            0.018288,          0.00028349,            0.009307,            0.009307,            0.009307
                  23,            0.036276,            0.020745,          0.00025818,                0.58,             0.57998,             0.58094,             0.26188,            0.043219,            0.018318,          0.00024962,            0.009274,            0.009274,            0.009274
                  24,            0.035943,            0.019731,          0.00028126,             0.58708,             0.59176,             0.57418,             0.27585,            0.043163,            0.018489,          0.00030445,            0.009241,            0.009241,            0.009241
                  25,            0.034995,             0.01928,          0.00026564,             0.63506,             0.60282,             0.60005,             0.28623,            0.043076,             0.01845,          0.00024281,            0.009208,            0.009208,            0.009208
                  26,            0.034678,            0.019864,          0.00028729,             0.56948,             0.62316,             0.58876,             0.28234,            0.042993,            0.018171,          0.00029917,            0.009175,            0.009175,            0.009175
                  27,            0.034901,            0.019866,          0.00026187,             0.69285,             0.61531,             0.64293,             0.30261,            0.042354,            0.018119,          0.00028197,            0.009142,            0.009142,            0.009142
                  28,            0.034893,            0.019491,          0.00027761,             0.63181,             0.59666,             0.58946,             0.27169,            0.042429,            0.018704,          0.00022055,            0.009109,            0.009109,            0.009109
                  29,            0.033705,            0.019462,          0.00028313,             0.66129,             0.59764,             0.61157,             0.29578,            0.043025,            0.018839,             0.00027,            0.009076,            0.009076,            0.009076
                  30,             0.03358,            0.018536,          0.00023839,             0.64351,             0.59863,             0.59984,             0.28688,            0.043857,             0.01861,          0.00025304,            0.009043,            0.009043,            0.009043
                  31,            0.033314,            0.019361,          0.00022439,             0.64779,             0.56854,             0.58304,             0.26234,            0.043751,            0.018725,          0.00023315,             0.00901,             0.00901,             0.00901
                  32,            0.033965,            0.019151,          0.00023816,             0.68317,             0.60157,             0.61506,             0.29809,             0.04257,            0.018672,          0.00026484,            0.008977,            0.008977,            0.008977
                  33,            0.033285,            0.018658,          0.00021005,             0.65645,             0.58194,             0.60338,             0.29554,            0.042026,            0.018675,          0.00024489,            0.008944,            0.008944,            0.008944
                  34,            0.032577,             0.01889,          0.00022146,             0.63162,             0.60238,             0.60796,             0.29739,            0.042912,            0.019195,          0.00025309,            0.008911,            0.008911,            0.008911
                  35,            0.031961,            0.017873,          0.00021506,             0.67308,             0.58593,             0.60746,             0.28219,            0.043495,             0.01942,          0.00026545,            0.008878,            0.008878,            0.008878
                  36,            0.032732,            0.018501,           0.0002303,             0.62495,             0.58292,             0.58784,              0.2733,            0.042607,            0.018774,          0.00023304,            0.008845,            0.008845,            0.008845
                  37,            0.031958,            0.018301,          0.00020142,             0.66015,             0.56428,             0.58737,             0.27418,            0.043782,            0.019854,          0.00026379,            0.008812,            0.008812,            0.008812
                  38,            0.031953,            0.018214,          0.00022968,              0.6365,             0.55741,             0.57665,             0.27405,            0.043296,            0.019682,          0.00026019,            0.008779,            0.008779,            0.008779
                  39,            0.030793,            0.017655,          0.00020031,             0.63036,             0.59961,             0.57595,             0.26599,            0.044353,            0.019304,          0.00024399,            0.008746,            0.008746,            0.008746
